timestamp,open,high,low,close,volume,amount,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5
2022-09-30 10:18:12,11.85,11.85,11.84,11.84,2200,2605500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,160200,131300,171500,305800,401400,62500,75700,102000,269300,82100
2022-09-30 10:18:15,11.85,11.85,11.84,11.85,52900,62685900.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,187500,131300,171500,305800,401400,12900,71800,102000,269300,82100
2022-09-30 10:18:18,11.85,11.85,11.84,11.84,26700,31629000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,188300,131300,170500,305800,401600,5600,73500,102000,269300,82100
2022-09-30 10:18:21,11.85,11.86,11.84,11.86,23000,27244300.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,3200,138200,132200,174500,305800,71300,102000,269300,82100,169200
2022-09-30 10:18:24,11.85,11.86,11.85,11.85,4800,5689900.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,7000,150200,132200,174500,305800,69400,102000,269300,82100,169200
2022-09-30 10:18:27,11.85,11.85,11.85,11.85,6900,8176500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,3900,151100,132300,174500,306500,74300,102000,106600,82100,169200
2022-09-30 10:18:30,11.85,11.85,11.85,11.85,8800,10428000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,150100,133600,174500,306500,405600,6500,74300,102000,106600,82100
2022-09-30 10:18:33,11.85,11.85,11.84,11.85,4300,5095400.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,149200,133600,176500,306500,405600,5800,73300,103000,106600,82100
2022-09-30 10:18:36,11.85,11.85,11.84,11.85,3800,4502700.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,154500,133600,176500,306500,406200,7700,73300,103000,106600,82100
2022-09-30 10:18:39,11.85,11.85,11.85,11.85,4600,5451000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,161100,133600,176500,306500,406200,9300,69400,103000,107600,82100
2022-09-30 10:18:42,11.85,11.85,11.85,11.85,8500,10072500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,153600,134800,176500,311900,413300,2800,70400,103000,107600,82100
2022-09-30 10:18:45,11.85,11.86,11.84,11.85,11800,13984600.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,1000,153900,134800,176500,311900,70200,103000,107600,82100,169200
2022-09-30 10:18:48,11.85,11.85,11.84,11.84,2900,3436400.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,7600,153500,194000,176500,313900,71300,103000,107600,82100,169200
2022-09-30 10:18:51,11.85,11.85,11.85,11.85,1400,1659000.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,16800,156600,200000,176500,313900,72300,103000,107600,82100,169200
2022-09-30 10:18:54,,,,11.85,0,0.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,29700,146100,200000,178600,312200,74400,103000,107600,82100,169200
2022-09-30 10:18:57,,,,11.85,0,0.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,31100,147000,204000,178900,318400,74600,103000,107600,82100,169200
2022-09-30 10:19:00,,,,11.85,0,0.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,34800,149600,202800,180600,318900,78200,104900,106600,82100,169200
2022-09-30 10:19:03,11.86,11.86,11.86,11.86,1500,1779000.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,40400,149600,203800,180000,318900,75800,104900,106600,92100,169200
2022-09-30 10:19:06,,,,11.86,0,0.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,42400,159900,204900,181000,318100,75800,104900,106600,92100,169200
2022-09-30 10:19:09,11.85,11.85,11.85,11.85,3700,4384500.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,48800,159200,204900,178800,318600,113900,108400,106600,93100,169200
2022-09-30 10:19:12,11.86,11.86,11.86,11.86,7200,8539200.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,65400,161100,204900,179300,318400,107600,108400,106600,93100,169200
2022-09-30 10:19:15,,,,11.86,0,0.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,68600,165200,204900,179400,316500,109800,108400,106600,95900,170200
2022-09-30 10:19:18,11.86,11.86,11.86,11.86,4500,5337000.0,11.85,11.84,11.83,11.82,11.81,11.86,11.87,11.88,11.89,11.9,78400,166200,204900,179400,313300,105500,104900,106600,95900,170200
2022-09-30 10:19:21,11.86,11.86,11.85,11.85,148700,176210000.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,179200,206900,179400,313300,418400,1800,104900,104900,106600,95900
2022-09-30 10:19:24,11.85,11.85,11.85,11.85,6500,7702500.0,11.84,11.83,11.82,11.81,11.8,11.85,11.86,11.87,11.88,11.89,179200,206800,179400,313300,438400,3800,105900,104900,106600,95900
